Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,FGENIA,250,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FTASOL,244,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FIBGEOR,237,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,GUILLENA B,225,1,ES,,,HPHS,WAT,0.86,0,0,1.315789474,1.315789474,0,,0,0,0.86,0.3,0,,,,,,,,,15750,0,225,0.86,,,,,,,,
,MORALET G,219,1,ES,,,HPHS,WAT,0.86,0,0,1.315789474,1.315789474,0,,0,0,0.86,0.3,0,,,,,,,,,15330,0,219,0.86,,,,,,,,
,MORALET B,219,1,ES,,,HPHS,WAT,0.86,0,0,1.315789474,1.315789474,0,,0,0,0.86,0.3,0,,,,,,,,,15330,0,219,0.86,,,,,,,,
,GUADIANA,219,1,ES,,,HDAM,WAT,0.85,0,0,0.420560748,0.420560748,0,,0,0,0.85,0.3,0,,,,,,,,,15330,0,0,0,,,,,,,,
,BOLARQUE G,215,1,ES,,,HPHS,WAT,0.86,0,0,1.315789474,1.315789474,0,,0,0,0.86,0.3,0,,,,,,,,,15050,0,215,0.86,,,,,,,,
,PEVER,212,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,BOLARQUE B,208,1,ES,,,HPHS,WAT,0.86,0,0,1.315789474,1.315789474,0,,0,0,0.86,0.3,0,,,,,,,,,14560,0,208,0.86,,,,,,,,
,EFGASN,207,1,ES,,,WTON,WIN,1,0,0,0.918367347,0.918367347,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,GUILLENA G,207,1,ES,,,HPHS,WAT,0.86,0,0,1.315789474,1.315789474,0,,0,0,0.86,0.3,0,,,,,,,,,1123,0,207,0.86,,,,,,,,
,VALDESOLAR,206,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FV SABINAR,193,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EBRO ALTO,191,1,ES,,,HDAM,WAT,0.85,0,0,0.476190476,0.476190476,0,,0,0,0.85,0.3,0,,,,,,,,,13370,0,0,0,,,,,,,,
,SHEEN PV3,180,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,TICO,180,1,ES,,,WTON,WIN,1,0,0,0.918367347,0.918367347,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EEGPE1,175,1,ES,,,WTON,WIN,1,0,0,0.918367347,0.918367347,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FRSIGMA,170,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,HABGN,169,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FFNEXU,165,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FVGREEN,164,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
