index,ES -> RoW,RoW -> ES
2024-01-01 00:00:00+00:00,0,2420.907987
2024-01-01 01:00:00+00:00,540.2500001,2367.537767
2024-01-01 02:00:00+00:00,423.8333334,2357.953754
2024-01-01 03:00:00+00:00,369.6666667,2353.790256
2024-01-01 04:00:00+00:00,517.1666667,2339.971326
2024-01-01 05:00:00+00:00,491.9166667,2342.160789
2024-01-01 06:00:00+00:00,527.6666667,2330.270337
2024-01-01 07:00:00+00:00,317.2499999,2330.744548
2024-01-01 08:00:00+00:00,469.4166667,2325.053438
2024-01-01 09:00:00+00:00,191.6666667,2263.864738
2024-01-01 10:00:00+00:00,1041.916667,2202.027353
2024-01-01 11:00:00+00:00,2923.333333,2222.181596
2024-01-01 12:00:00+00:00,3077.083333,2300.399545
2024-01-01 13:00:00+00:00,4476.833334,2475.775495
2024-01-01 14:00:00+00:00,6120.583333,2648.116482
2024-01-01 15:00:00+00:00,3238.916667,2851.908118
2024-01-01 16:00:00+00:00,1035.333333,2930.000548
2024-01-01 17:00:00+00:00,0,2704.108952
2024-01-01 18:00:00+00:00,39.00000002,2525.958847
2024-01-01 19:00:00+00:00,0,3052.930518
2024-01-01 20:00:00+00:00,0,3197.171833
2024-01-01 21:00:00+00:00,0,3194.55473
2024-01-01 22:00:00+00:00,174.0833334,2437.670491
2024-01-01 23:00:00+00:00,192.0000001,2396.186649
2024-01-02 00:00:00+00:00,176.0833333,2357.832677
2024-01-02 01:00:00+00:00,409.6666666,2330.255739
2024-01-02 02:00:00+00:00,474.25,2313.482421
2024-01-02 03:00:00+00:00,110.7500001,2353.957905
2024-01-02 04:00:00+00:00,0,2481.495343
2024-01-02 05:00:00+00:00,0,3480.19344
2024-01-02 06:00:00+00:00,0,3280.403342
2024-01-02 07:00:00+00:00,0,4226.975921
2024-01-02 08:00:00+00:00,0,3343.354915
2024-01-02 09:00:00+00:00,768.3333331,2684.673824
2024-01-02 10:00:00+00:00,2494.333334,2870.858639
2024-01-02 11:00:00+00:00,3274,3062.975053
2024-01-02 12:00:00+00:00,2847.666667,3094.780914
2024-01-02 13:00:00+00:00,3654.25,3119.580308
2024-01-02 14:00:00+00:00,3532,3164.342739
2024-01-02 15:00:00+00:00,2283.25,3157.207672
2024-01-02 16:00:00+00:00,2053.75,2893.67301
2024-01-02 17:00:00+00:00,1576.333333,2788.855338
2024-01-02 18:00:00+00:00,1182.583334,2971.24966
2024-01-02 19:00:00+00:00,5.916666471,2991.663563
2024-01-02 20:00:00+00:00,919.6666666,2919.490733
2024-01-02 21:00:00+00:00,944.5000001,2834.286698
2024-01-02 22:00:00+00:00,358.25,2743.173485
2024-01-02 23:00:00+00:00,190.25,2561.892061
2024-01-03 00:00:00+00:00,528.6666667,2522.724734
2024-01-03 01:00:00+00:00,1100,2510.522571
2024-01-03 02:00:00+00:00,929.4166667,2507.730326
2024-01-03 03:00:00+00:00,1105.166667,2516.300047
2024-01-03 04:00:00+00:00,404.3333332,2507.240858
2024-01-03 05:00:00+00:00,0,2875.36052
2024-01-03 06:00:00+00:00,0,3135.41805
2024-01-03 07:00:00+00:00,0,3863.997253
2024-01-03 08:00:00+00:00,0,3341.914708
2024-01-03 09:00:00+00:00,208.0833333,2951.623074
2024-01-03 10:00:00+00:00,989.0833336,3063.176992
2024-01-03 11:00:00+00:00,1071.75,3139.521768
2024-01-03 12:00:00+00:00,1123.166667,3220.375667
2024-01-03 13:00:00+00:00,1725.916667,3274.723096
2024-01-03 14:00:00+00:00,1776.333333,3282.699063
2024-01-03 15:00:00+00:00,415.9166668,3272.619119
2024-01-03 16:00:00+00:00,25.9166666,3104.715839
2024-01-03 17:00:00+00:00,0,3673.5366
2024-01-03 18:00:00+00:00,0,4112.776357
2024-01-03 19:00:00+00:00,0,4225.033255
2024-01-03 20:00:00+00:00,0,4081.90326
2024-01-03 21:00:00+00:00,40.16666666,3446.679504
2024-01-03 22:00:00+00:00,637.3333334,3432.43015
2024-01-03 23:00:00+00:00,212.6666667,3359.4274
2024-01-04 00:00:00+00:00,6.500000029,3331.943114
2024-01-04 01:00:00+00:00,0,3539.735236
2024-01-04 02:00:00+00:00,0,3511.306145
2024-01-04 03:00:00+00:00,0,4538.324855
2024-01-04 04:00:00+00:00,0,4598.424786
2024-01-04 05:00:00+00:00,0,5695.845437
2024-01-04 06:00:00+00:00,0,5775.380118
2024-01-04 07:00:00+00:00,0,6143.424055
2024-01-04 08:00:00+00:00,0,6108.45263
2024-01-04 09:00:00+00:00,0,5199.371715
2024-01-04 10:00:00+00:00,0,4601.248262
2024-01-04 11:00:00+00:00,0,5062.617717
2024-01-04 12:00:00+00:00,0,5271.271296
2024-01-04 13:00:00+00:00,0,5662.368311
2024-01-04 14:00:00+00:00,0,6333.137336
2024-01-04 15:00:00+00:00,0,7108.770116
2024-01-04 16:00:00+00:00,0,7599.247039
2024-01-04 17:00:00+00:00,0,7324.59624
2024-01-04 18:00:00+00:00,0,7043.853214
2024-01-04 19:00:00+00:00,0,6950.7388
2024-01-04 20:00:00+00:00,0,7477.816133
2024-01-04 21:00:00+00:00,0,6914.826918
2024-01-04 22:00:00+00:00,0,5790.828346
2024-01-04 23:00:00+00:00,0,5885.603756
2024-01-05 00:00:00+00:00,0,4684.037842
2024-01-05 01:00:00+00:00,0,3675.050294
2024-01-05 02:00:00+00:00,0,3320.840132
2024-01-05 03:00:00+00:00,114.9166666,3283.671423
2024-01-05 04:00:00+00:00,1557.25,3288.739527
2024-01-05 05:00:00+00:00,1776.25,3330.486461
2024-01-05 06:00:00+00:00,0,3677.002653
2024-01-05 07:00:00+00:00,0,4392.556049
2024-01-05 08:00:00+00:00,922.9166669,3429.9983
2024-01-05 09:00:00+00:00,3469.25,3334.571171
2024-01-05 10:00:00+00:00,5544.5,3266.265793
2024-01-05 11:00:00+00:00,6275.666667,3300.744346
2024-01-05 12:00:00+00:00,6097.416667,3358.118992
2024-01-05 13:00:00+00:00,6689.166667,3457.912074
2024-01-05 14:00:00+00:00,6491.666667,3486.356504
2024-01-05 15:00:00+00:00,6632.75,3601.056664
2024-01-05 16:00:00+00:00,5310.666666,3641.747517
2024-01-05 17:00:00+00:00,4503.166667,3418.235683
2024-01-05 18:00:00+00:00,4396.25,3403.143321
2024-01-05 19:00:00+00:00,4968.333333,3380.338794
2024-01-05 20:00:00+00:00,4839.833333,3351.691533
2024-01-05 21:00:00+00:00,5101.583333,3278.473397
2024-01-05 22:00:00+00:00,5422.25,3202.242512
2024-01-05 23:00:00+00:00,6142.333333,3005.663344
2024-01-06 00:00:00+00:00,6546.666667,2875.5538
2024-01-06 01:00:00+00:00,6378.166667,2848.802228
2024-01-06 02:00:00+00:00,6539.916667,2854.907436
2024-01-06 03:00:00+00:00,6856.416667,2789.591239
2024-01-06 04:00:00+00:00,6858.833333,2771.915743
2024-01-06 05:00:00+00:00,6257.75,2748.69594
2024-01-06 06:00:00+00:00,5393.666667,2751.97816
2024-01-06 07:00:00+00:00,5468.333333,2738.470527
2024-01-06 08:00:00+00:00,6435,2727.573204
2024-01-06 09:00:00+00:00,7248.75,2699.612017
2024-01-06 10:00:00+00:00,7166.25,2765.354322
2024-01-06 11:00:00+00:00,7625.416667,3015.094018
2024-01-06 12:00:00+00:00,7662.916667,3033.738616
2024-01-06 13:00:00+00:00,7716.666667,2993.694868
2024-01-06 14:00:00+00:00,7787.75,3045.825521
2024-01-06 15:00:00+00:00,7441.75,3168.503294
2024-01-06 16:00:00+00:00,6614.666667,3174.418641
2024-01-06 17:00:00+00:00,5092.916667,3157.905231
2024-01-06 18:00:00+00:00,4430.916667,3165.681106
2024-01-06 19:00:00+00:00,3805.333333,3160.514567
2024-01-06 20:00:00+00:00,2368,3149.329858
2024-01-06 21:00:00+00:00,3302.75,3127.110754
2024-01-06 22:00:00+00:00,5150.583334,3112.772001
2024-01-06 23:00:00+00:00,3533.083334,3128.763908
2024-01-07 00:00:00+00:00,4645.916666,3107.481007
2024-01-07 01:00:00+00:00,5266.583333,3061.166514
2024-01-07 02:00:00+00:00,5323.916667,3089.549621
2024-01-07 03:00:00+00:00,5416,3121.183466
2024-01-07 04:00:00+00:00,5758.5,3116.244441
2024-01-07 05:00:00+00:00,5570.083333,3100.063677
2024-01-07 06:00:00+00:00,4852.833333,3104.929866
2024-01-07 07:00:00+00:00,4285.833333,3134.017702
2024-01-07 08:00:00+00:00,5588.75,3109.774063
2024-01-07 09:00:00+00:00,6948.25,3015.02432
2024-01-07 10:00:00+00:00,7190.833333,3045.515793
2024-01-07 11:00:00+00:00,7600,3302.519932
2024-01-07 12:00:00+00:00,7778.5,3425.031285
2024-01-07 13:00:00+00:00,7691.083333,3523.30857
2024-01-07 14:00:00+00:00,7825.083333,3778.491826
2024-01-07 15:00:00+00:00,7733.333333,4094.036486
2024-01-07 16:00:00+00:00,5528.25,4008.996433
2024-01-07 17:00:00+00:00,2699.583334,3553.899262
2024-01-07 18:00:00+00:00,1769.166667,3433.969045
2024-01-07 19:00:00+00:00,445.7499997,3430.249077
2024-01-07 20:00:00+00:00,0,3892.624141
2024-01-07 21:00:00+00:00,0,3624.707414
2024-01-07 22:00:00+00:00,2345.416667,3287.566782
2024-01-07 23:00:00+00:00,2533.583333,3242.999843
2024-01-08 00:00:00+00:00,3152,3216.69672
2024-01-08 01:00:00+00:00,3228.416667,3194.769457
2024-01-08 02:00:00+00:00,3149.916667,3194.411997
2024-01-08 03:00:00+00:00,3324.25,3196.20503
2024-01-08 04:00:00+00:00,3202.916667,3223.193868
2024-01-08 05:00:00+00:00,3668.916666,3314.585349
2024-01-08 06:00:00+00:00,2734.416667,3267.027118
2024-01-08 07:00:00+00:00,987.9999997,3267.28542
2024-01-08 08:00:00+00:00,2410.416667,3484.830569
2024-01-08 09:00:00+00:00,4673.666666,3572.139875
2024-01-08 10:00:00+00:00,6163.916667,3698.358431
2024-01-08 11:00:00+00:00,6335.25,3770.293469
2024-01-08 12:00:00+00:00,5563.166667,3764.160904
2024-01-08 13:00:00+00:00,5200.25,3770.124556
2024-01-08 14:00:00+00:00,4836.916667,3771.25965
2024-01-08 15:00:00+00:00,3446.583333,3780.347483
2024-01-08 16:00:00+00:00,1393.166666,3570.415408
2024-01-08 17:00:00+00:00,0,4576.461187
2024-01-08 18:00:00+00:00,0,4870.554139
2024-01-08 19:00:00+00:00,0,5885.254826
2024-01-08 20:00:00+00:00,0,6189.815805
2024-01-08 21:00:00+00:00,0,4883.136882
2024-01-08 22:00:00+00:00,0,4132.118687
2024-01-08 23:00:00+00:00,0,4617.809047
2024-01-09 00:00:00+00:00,0,4734.813253
2024-01-09 01:00:00+00:00,0,4627.506447
2024-01-09 02:00:00+00:00,0,4821.823896
2024-01-09 03:00:00+00:00,0,5080.863745
2024-01-09 04:00:00+00:00,0,5519.218878
2024-01-09 05:00:00+00:00,0,5422.098434
2024-01-09 06:00:00+00:00,0,4618.12679
2024-01-09 07:00:00+00:00,0,4603.486277
2024-01-09 08:00:00+00:00,0,4071.551667
2024-01-09 09:00:00+00:00,921.4999997,3627.385803
2024-01-09 10:00:00+00:00,1620.25,3631.760381
2024-01-09 11:00:00+00:00,2279.916666,3641.995467
2024-01-09 12:00:00+00:00,857.5833335,3661.237783
2024-01-09 13:00:00+00:00,1933,3654.548933
2024-01-09 14:00:00+00:00,2059.75,3683.872803
2024-01-09 15:00:00+00:00,1528.25,3722.052388
2024-01-09 16:00:00+00:00,737.9166667,3750.153397
2024-01-09 17:00:00+00:00,841.0833332,3794.260465
2024-01-09 18:00:00+00:00,327.9166668,3807.868095
2024-01-09 19:00:00+00:00,0,5157.312708
2024-01-09 20:00:00+00:00,0,5546.032603
2024-01-09 21:00:00+00:00,0,3891.816037
2024-01-09 22:00:00+00:00,715.0833335,3723.191142
2024-01-09 23:00:00+00:00,0,4522.141041
2024-01-10 00:00:00+00:00,0,4589.266847
2024-01-10 01:00:00+00:00,0,4037.021204
2024-01-10 02:00:00+00:00,0,4043.648703
2024-01-10 03:00:00+00:00,0,4674.280824
2024-01-10 04:00:00+00:00,0,4487.676677
2024-01-10 05:00:00+00:00,0,4662.717583
2024-01-10 06:00:00+00:00,0,5319.41899
2024-01-10 07:00:00+00:00,0,5605.542285
2024-01-10 08:00:00+00:00,0,5222.216931
2024-01-10 09:00:00+00:00,0,4321.614231
2024-01-10 10:00:00+00:00,642.4166668,3737.47152
2024-01-10 11:00:00+00:00,821.8333334,3770.473374
2024-01-10 12:00:00+00:00,1293.5,3781.691922
2024-01-10 13:00:00+00:00,1220.583333,3817.301467
2024-01-10 14:00:00+00:00,1412.666667,3845.021292
2024-01-10 15:00:00+00:00,893.9166667,3972.834447
2024-01-10 16:00:00+00:00,0,4306.275511
2024-01-10 17:00:00+00:00,0,4235.665249
2024-01-10 18:00:00+00:00,15.16666673,3849.046205
2024-01-10 19:00:00+00:00,13.41666667,3925.464344
2024-01-10 20:00:00+00:00,516.25,3920.432371
2024-01-10 21:00:00+00:00,751.8333333,3890.92982
2024-01-10 22:00:00+00:00,1748,3850.978245
2024-01-10 23:00:00+00:00,1875.75,3796.644659
2024-01-11 00:00:00+00:00,2146.5,3789.054252
2024-01-11 01:00:00+00:00,3051.916667,3781.087981
2024-01-11 02:00:00+00:00,3286.5,3773.66182
2024-01-11 03:00:00+00:00,2910.25,3762.275724
2024-01-11 04:00:00+00:00,2754.5,3769.963762
2024-01-11 05:00:00+00:00,1071.666667,3793.724184
2024-01-11 06:00:00+00:00,0,4162.5547
2024-01-11 07:00:00+00:00,0,4946.46046
2024-01-11 08:00:00+00:00,0,4184.892241
2024-01-11 09:00:00+00:00,1161.166666,3833.924552
2024-01-11 10:00:00+00:00,2582.083334,3811.908343
2024-01-11 11:00:00+00:00,2614,3847.325431
2024-01-11 12:00:00+00:00,2578.25,3964.579575
2024-01-11 13:00:00+00:00,2783.666667,4087.149602
2024-01-11 14:00:00+00:00,2736,4230.769457
2024-01-11 15:00:00+00:00,2587.75,4246.460885
2024-01-11 16:00:00+00:00,1662.333333,4179.739491
2024-01-11 17:00:00+00:00,1498.166667,4041.795307
2024-01-11 18:00:00+00:00,1338.416667,3964.983025
2024-01-11 19:00:00+00:00,36.83333317,3957.673732
2024-01-11 20:00:00+00:00,0,4193.760676
2024-01-11 21:00:00+00:00,516.1666666,3850.003461
2024-01-11 22:00:00+00:00,605.5833333,3850.730541
2024-01-11 23:00:00+00:00,0,4706.720661
2024-01-12 00:00:00+00:00,454.833333,3785.433542
2024-01-12 01:00:00+00:00,907.6666667,3773.407204
2024-01-12 02:00:00+00:00,732.4166666,3768.922485
2024-01-12 03:00:00+00:00,576.9166666,3748.518439
2024-01-12 04:00:00+00:00,841.5833334,3745.676268
2024-01-12 05:00:00+00:00,96.74999987,3751.115847
2024-01-12 06:00:00+00:00,0,5482.367293
2024-01-12 07:00:00+00:00,0,5186.44539
2024-01-12 08:00:00+00:00,0,4699.286328
2024-01-12 09:00:00+00:00,0,4500.866452
2024-01-12 10:00:00+00:00,1061.916667,4060.787762
2024-01-12 11:00:00+00:00,1615.416667,4232.361919
2024-01-12 12:00:00+00:00,1706.083333,4288.239374
2024-01-12 13:00:00+00:00,1558.916667,4295.769072
2024-01-12 14:00:00+00:00,1722.5,4534.095596
2024-01-12 15:00:00+00:00,526.1666668,4560.670125
2024-01-12 16:00:00+00:00,0,5536.590322
2024-01-12 17:00:00+00:00,0,4941.188589
2024-01-12 18:00:00+00:00,0,4385.480334
2024-01-12 19:00:00+00:00,0,4581.494989
2024-01-12 20:00:00+00:00,0,5317.0139
2024-01-12 21:00:00+00:00,0,5541.745794
2024-01-12 22:00:00+00:00,0,6224.835531
2024-01-12 23:00:00+00:00,0,5353.265368
2024-01-13 00:00:00+00:00,0,4278.848741
2024-01-13 01:00:00+00:00,0,4048.649086
2024-01-13 02:00:00+00:00,0,4508.951118
2024-01-13 03:00:00+00:00,0,4241.052708
2024-01-13 04:00:00+00:00,0,3976.14727
2024-01-13 05:00:00+00:00,0,3761.208538
2024-01-13 06:00:00+00:00,0,4724.034564
2024-01-13 07:00:00+00:00,0,4798.078162
2024-01-13 08:00:00+00:00,0,4584.194216
2024-01-13 09:00:00+00:00,0,3807.651371
2024-01-13 10:00:00+00:00,661.0000002,3713.365185
