 ,WTON,WTOF,PHOT,HROR
2019-01-01 00:00:00+00:00,0.164779892,0,0,0.497556768
2019-01-01 01:00:00+00:00,0.162957315,0,0,0.473492069
2019-01-01 02:00:00+00:00,0.161701116,0,0,0.466039082
2019-01-01 03:00:00+00:00,0.153793598,0,0,0.466832587
2019-01-01 04:00:00+00:00,0.147701396,0,0,0.464445146
2019-01-01 05:00:00+00:00,0.14663399,0,0,0.462601111
2019-01-01 06:00:00+00:00,0.145457665,0,0,0.464803642
2019-01-01 07:00:00+00:00,0.145435882,0,0.002835694,0.462096183
2019-01-01 08:00:00+00:00,0.139089536,0,0.147568041,0.460262701
2019-01-01 09:00:00+00:00,0.113471792,0,0.428152535,0.461395463
2019-01-01 10:00:00+00:00,0.085966119,0,0.582697877,0.459919596
2019-01-01 11:00:00+00:00,0.076511952,0,0.654075288,0.461317959
2019-01-01 12:00:00+00:00,0.071095048,0,0.671723754,0.459810212
2019-01-01 13:00:00+00:00,0.069286993,0,0.643478746,0.457203013
2019-01-01 14:00:00+00:00,0.065721712,0,0.560161569,0.457726849
2019-01-01 15:00:00+00:00,0.06680364,0,0.364610594,0.465731376
2019-01-01 16:00:00+00:00,0.088478517,0,0.082085889,0.468375293
2019-01-01 17:00:00+00:00,0.12999117,0,0,0.475989333
2019-01-01 18:00:00+00:00,0.158920051,0,0,0.480054039
2019-01-01 19:00:00+00:00,0.18824104,0,0,0.47871691
2019-01-01 20:00:00+00:00,0.218208282,0,0,0.470355427
2019-01-01 21:00:00+00:00,0.246135108,0,0,0.460421226
2019-01-01 22:00:00+00:00,0.270714491,0,0,0.455868632
2019-01-01 23:00:00+00:00,0.287321005,0,0,0.45410177
2019-01-02 00:00:00+00:00,0.296332235,0,0,0.452319298
2019-01-02 01:00:00+00:00,0.307478277,0,0,0.45331761
2019-01-02 02:00:00+00:00,0.324839962,0,0,0.453902899
2019-01-02 03:00:00+00:00,0.34244853,0,0,0.450851896
2019-01-02 04:00:00+00:00,0.353674446,0,0,0.45114718
2019-01-02 05:00:00+00:00,0.395898704,0,0,0.449661529
2019-01-02 06:00:00+00:00,0.417159688,0,0,0.452234209
2019-01-02 07:00:00+00:00,0.439371899,0,0.002798383,0.456475139
2019-01-02 08:00:00+00:00,0.43989471,0,0.145030841,0.449547088
2019-01-02 09:00:00+00:00,0.430012128,0,0.425055658,0.445925197
2019-01-02 10:00:00+00:00,0.409578928,0,0.581541212,0.443541714
2019-01-02 11:00:00+00:00,0.39105544,0,0.642172834,0.436624326
2019-01-02 12:00:00+00:00,0.374122169,0,0.65896313,0.444467799
2019-01-02 13:00:00+00:00,0.341729665,0,0.642359393,0.445647943
2019-01-02 14:00:00+00:00,0.323315096,0,0.569340264,0.443686387
2019-01-02 15:00:00+00:00,0.312176315,0,0.371923701,0.454460925
2019-01-02 16:00:00+00:00,0.31065145,0,0.087906525,0.46495667
2019-01-02 17:00:00+00:00,0.33217384,0,0,0.475219025
2019-01-02 18:00:00+00:00,0.335884347,0,0,0.474948696
2019-01-02 19:00:00+00:00,0.335935175,0,0,0.465186982
2019-01-02 20:00:00+00:00,0.323111781,0,0,0.451091333
2019-01-02 21:00:00+00:00,0.308828872,0,0,0.44708775
2019-01-02 22:00:00+00:00,0.294923549,0,0,0.432172322
2019-01-02 23:00:00+00:00,0.27736581,0,0,0.422659389
2019-01-03 00:00:00+00:00,0.256889042,0,0,0.421819822
2019-01-03 01:00:00+00:00,0.255255257,0,0,0.4183492
2019-01-03 02:00:00+00:00,0.246686964,0,0,0.419507686
2019-01-03 03:00:00+00:00,0.242511737,0,0,0.421057978
2019-01-03 04:00:00+00:00,0.239186077,0,0,0.417253156
2019-01-03 05:00:00+00:00,0.234429948,0,0,0.418445942
2019-01-03 06:00:00+00:00,0.246214982,0,0,0.426268967
2019-01-03 07:00:00+00:00,0.255008374,0,0.002052147,0.441181977
2019-01-03 08:00:00+00:00,0.244987828,0,0.124248187,0.450474382
2019-01-03 09:00:00+00:00,0.211796585,0,0.376065307,0.449086134
2019-01-03 10:00:00+00:00,0.190528339,0,0.531021078,0.448316485
2019-01-03 11:00:00+00:00,0.184559579,0,0.609748908,0.45044426
2019-01-03 12:00:00+00:00,0.165673028,0,0.612435355,0.45480425
2019-01-03 13:00:00+00:00,0.147636045,0,0.573705741,0.456343988
2019-01-03 14:00:00+00:00,0.132510829,0,0.47807568,0.463359327
2019-01-03 15:00:00+00:00,0.132888415,0,0.299576183,0.469986818
