 ,WTON,WTOF,PHOT,HROR
2018-01-01 00:00:00+00:00,0.496252177,0,0,0.526931837
2018-01-01 01:00:00+00:00,0.424448372,0,0,0.52846377
2018-01-01 02:00:00+00:00,0.28447289,0,0,0.526700756
2018-01-01 03:00:00+00:00,0.277099234,0,0,0.516477977
2018-01-01 04:00:00+00:00,0.271322838,0,0,0.508094508
2018-01-01 05:00:00+00:00,0.270090249,0,0,0.516250414
2018-01-01 06:00:00+00:00,0.254599006,0,0,0.520760023
2018-01-01 07:00:00+00:00,0.259405376,0,0.003151644,0.519054724
2018-01-01 08:00:00+00:00,0.253497699,0,0.116685869,0.517872822
2018-01-01 09:00:00+00:00,0.277865044,0,0.343454163,0.516443128
2018-01-01 10:00:00+00:00,0.305704061,0,0.491093679,0.525694199
2018-01-01 11:00:00+00:00,0.362476109,0,0.55063724,0.531212784
2018-01-01 12:00:00+00:00,0.391839453,0,0.540206799,0.52458903
2018-01-01 13:00:00+00:00,0.506623432,0,0.49627138,0.521790436
2018-01-01 14:00:00+00:00,0.538882267,0,0.426860172,0.520771017
2018-01-01 15:00:00+00:00,0.548356431,0,0.258284734,0.523079854
2018-01-01 16:00:00+00:00,0.591569996,0,0.053540429,0.534633495
2018-01-01 17:00:00+00:00,0.6372925,0,0,0.546743074
2018-01-01 18:00:00+00:00,0.630042832,0,0,0.551700225
2018-01-01 19:00:00+00:00,0.627942324,0,0,0.553797439
2018-01-01 20:00:00+00:00,0.615178824,0,0,0.551967915
2018-01-01 21:00:00+00:00,0.619285024,0,0,0.553240073
2018-01-01 22:00:00+00:00,0.587806586,0,0,0.547110584
2018-01-01 23:00:00+00:00,0.53044377,0,0,0.544854075
2018-01-02 00:00:00+00:00,0.519693256,0,0,0.543648977
2018-01-02 01:00:00+00:00,0.490993615,0,0,0.541899814
2018-01-02 02:00:00+00:00,0.45286357,0,0,0.537151757
2018-01-02 03:00:00+00:00,0.455423563,0,0,0.535825622
2018-01-02 04:00:00+00:00,0.475713882,0,0,0.534165616
2018-01-02 05:00:00+00:00,0.526344863,0,0,0.536467637
2018-01-02 06:00:00+00:00,0.519926646,0,0,0.544976652
2018-01-02 07:00:00+00:00,0.512108091,0,0.003226683,0.549000352
2018-01-02 08:00:00+00:00,0.537635091,0,0.086670212,0.554366679
2018-01-02 09:00:00+00:00,0.548378311,0,0.270328517,0.555335528
2018-01-02 10:00:00+00:00,0.536220166,0,0.387089425,0.559027228
2018-01-02 11:00:00+00:00,0.537926828,0,0.453236431,0.559422111
2018-01-02 12:00:00+00:00,0.556554245,0,0.493007177,0.563425804
2018-01-02 13:00:00+00:00,0.562884941,0,0.46385447,0.566105449
2018-01-02 14:00:00+00:00,0.565919007,0,0.392192087,0.568302703
2018-01-02 15:00:00+00:00,0.568807205,0,0.250930898,0.582405608
2018-01-02 16:00:00+00:00,0.549173295,0,0.057292387,0.594713068
